Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI,,,,,,,,,,,,,,,,,
,,"Bidang Pertemuan, Insentif, Konvensi, dan Pameran",JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan, evaluasi, dan pelaporan di bidang pertemuan, insentif, konvensi, dan pameran.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
,,Bidang Event Nasional dan Internasional,JPT,"perumusan dan pelaksanaan kebijakan teknis,
 pemantauan, analisis, evaluasi, dan pelaporan di bidang
 strategi dan promosi, peningkatan jejaring dan fasilitasi
 pemangku kepentingan, dan penyelenggaraan event nasional
 dan internasional",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
,,Direktur Event Daerah,JPT,"perumusan dan
 pelaksanaan kebijakan teknis, serta pemantauan, analisis,
 evaluasi, dan pelaporan di bidang strategi dan promosi,
 peningkatan jejaring, fasilitasi pemangku kepentingan event
 daerah.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
,,Bidang Tata Kelola Ekonomi Digital,JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang penguatan tata
 kelola dan fasilitasi pemangku kepentingan ekonomi digital",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
,,"Bidang Aplikasi, Permainan, TV, dan Radio",JPT,"perumusan dan pelaksanaan kebijakan
 teknis, pemantauan, analisis, evaluasi, dan pelaporan di
 bidang penciptaan talenta, penguatan kreasi, dan fasilitasi
 pemangku kepentingan di bidang aplikasi, permainan,
 televisi, dan radio.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
,,"Bidang Kuliner, Kriya, Desain, dan Fesyen",JPT,"perumusan dan pelaksanaan kebijakan teknis,
 pemantauan, analisis, evaluasi, dan pelaporan di bidang
 penciptaan talenta, penguatan kreasi, dan fasilitasi pemangku
 kepentingan di bidang kuliner, kriya, desain interior,
 arsitektur, desain komunikasi visual, desain produk, dan
 fesyen.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
,,"Bidang Musik, Film, dan Animasi",JPT,"perumusan dan pelaksanaan kebijakan teknis, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang penciptaan
 talenta, penguatan kreasi, dan fasilitasi pemangku
 kepentingan di bidang seni musik, film, animasi, video,
 fotografi, periklanan, penerbitan, seni pertunjukan, dan seni
 rupa.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
,,Bidang Pengembangan Kekayaan Intelektual Industri Kreatif,JPT,"perumusan dan pelaksanaan
 kebijakan teknis, pemantauan, analisis, evaluasi, dan
 pelaporan di bidang pengembangan kekayaan intelektual
 industri kreatif.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Perencana Khusus Kota,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan pembangunan kawasan perkotaan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan penataan lahan terbangun",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Penata Kelola Perumahan,Future Job,"Merencanakan dan mengembangkan lahan untuk taman, sekolah, lembaga, bandara, jalan raya dan proyek terkait, dan untuk perumahan dan industry yang bersifat komersil",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Teknik Lingkungan,Future Job,"Melakukan penelitian, memberi saran, mendesain dan mengarahkan implementasi solusi untuk mencegah, mengontrol atau mengoreksi dampak negatif kegiatan manusia terhadap lingkungan dengan memanfaatkan berbagai disiplin ilmu teknik",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Auditor Lingkungan,Future Job,"Melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan; meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi imbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Lingkungan,Future Job,"Mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang ikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Klimatologi,Future Job,"Mempelajari sifat iklim pada suatu wilayah, dan kaitannya dengan aktivitas manusia; mempelajari perubahan iklim, variabilitas iklim, dan dampak iklim terhadap biosfer; menggunakan komputer untuk memprediksi pengaruh cuaca atau iklim terhadap aktivitas manusia.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Hidrometeorologi,Future Job,"Pengukuran, analisis dan pemodelan atmosfer dan proses hubungan antara variabel meteorologi dan curah hujan maksimum yang mencapai tanah sebagai dasar untuk desain pengendalian banjir dan struktur penggunaan air, penentuan probabilitas curah hujan, ruang dan waktu distribusi curah hujan dan penguapan, dan lainnya yang terkait.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Ekologi,Future Job,"Mempelajari ekosistem secara keseluruhan, kelimpahan dan distribusi organisme (manusia, tumbuhan, hewan), dan hubungan antara organisme dan lingkungannya. melakukan survey lapangan untuk mengumpulkan informasi tentang jumlah dan distribusi organisme; mempelajari taksonomi, pengklasifikasian organisme; menerapkan strategi sampling dan menggunakan berbagai teknik survei habitat, seperti Sistem Informasi Geografis (GIS), Global Positioning System (GPS), foto udara, catatan dan peta; melakukan penilaian dampak lingkungan; menganalisis dan menafsirkan data; manajemen dan penciptaan habitat; menulis laporan dan mengeluarkan rekomendasi; bekerjasama dengan dan menasihati manajer, insinyur, perencana dan lain-lain yang terkait dengan survei; membangun hubungan dengan para pemangku kepentingan, termasuk anggota masyarakat; menyumbangkan ide-ide tentang perubahan kebijakan dan / atau undang-undang, berdasarkan temuan ekologi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Analis Polusi Udara,Future Job,"Melakukan penelitian, memeriksa dan menyelidiki tingkat polusi udara, dan mengambil langkah yang diperlukan untuk memastikan kualitas udara yang baik sehingga masalah kesehatan masyarakat dapat ditangani; Melakukan penelitian, melakukan tes, mengumpulkan sampel, dan melakukan analisis lapangan dan laboratorium untuk mengidentifikasi sumber-sumber masalah lingkungan dan merekomendasikan cara-cara untuk mencegah, mengendalikan dan memperbaiki; menilai kemungkinan kegiatan yang berdampak potensial terhadap lingkungan, dan merekomendasikan apakah perkembangan tersebut harus dilanjutkan; mengembangkan dan mengkoordinasikan pelaksanaan sistem manajemen lingkungan untuk mengidentifikasi, memantau dan mengendalikan dampak dari kegiatan, produk dan jasa terhadap lingkungan; melakukan audit untuk mengevaluasi dampak lingkungan suatu kegiatan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Ahli Konservasi,Future Job,"Mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan; Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya; memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Penyuluh Lingkungan Hidup,JF,"Melaksanakan kegiatan Penyuluhan Lingkungan Hidup meliputi persiapan, pelaksanaan, pengembangan, pemantauan, evaluasi dan pelaporan penyuluhan lingkungan hidup",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Teknis Pengairan,JF,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Teknik Penyehatan Lingkungan,JF,"Melaksanakan penyelenggaraan pengelolaan air minum, air limbah, sampah dan air drainase",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang pekerjaan umum dan penataan ruang,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang pekerjaan umum dan penataan ruang.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Perumahan Rakyat dan Kawasan Pemukiman,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang Perumahan Rakyat dan Kawasan Pemukiman.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Pertanahan,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang Pertanahan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Rumah Susun,JPT,"melaksanakan penyiapan perumusan kebijakan dan strategi nasional penyelenggaraan rumah susun, pelaksanaan kebijakan pembangunan rumah susun, penyusunan program dan anggaran, perencanaan teknis, penyusunan standar dan pedoman, pemberian bimbingan teknis dan supervisi, fasilitasi pengelolaan dan penghunian, pengelolaan data dan pengembangan sistem informasi, serta pemantauan dan evaluasi penyelenggaraan rumah susun.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Rumah Swadaya,JPT,"melaksanakan penyusunan rencana teknik dan penyusunan standardisasi, fasilitasi pendataan dan verifikasi, fasilitasi pemberdayaan dan kemitraan, pelaksanaan bantuan stimulan serta pemantauan dan evaluasi di bidang penyelenggaraan bantuan rumah swadaya.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Rumah Khusus,JPT,"melaksanakan penyiapan perumusan kebijakan dan pelaksanaan di bidang pembinaan penyelenggaraan rumah tapak khusus, perencanaan teknik, penyusunan standar dan pedoman, pengelolaan, pemantauan dan evaluasi penyediaan rumah tapak khusus, serta penyediaan rumah tapak khusus dan rumah tapak negara.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Rumah Umum dan Komersial,JPT,"melaksanakan perencanaan teknik dan evaluasi, penyusunan standar dan pedoman, bantuan rumah umum, fasilitasi pelaksanaan hunian berimbang dan fasilitasi penyediaan tanah bagi perumahan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Sumber Daya Air,JPT,menyelenggarakan perumusan dan pelaksanaan kebijakan di bidang pengelolaan sumber daya air sesuai dengan ketentuan peraturan perudang-undangan.,Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Sistem dan Strategi Pengelolaan Sumber Daya Air,JPT,menyelenggarakan perumusan dan pelaksanaan kebijakan di bidang pengelolaan sumber daya air sesuai dengan ketentuan peraturan perudang-undangan.,Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Sungai dan Pantai,JPT,"melaksanakan pembinaan pelaksanaan norma, standar, prosedur, dan kriteria, serta perencanaan, persiapan, dan pelaksanaan operasi dan pemeliharaan sungai, pantai, dan drainase utama perkotaan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Irigasi dan Rawa,JPT,"melaksanakan pembinaan pelaksanaan norma, standar, prosedur, dan kriteria, serta perencanaan, persiapan, dan pelaksanaan operasi dan pemeliharaan irigasi dan rawa.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Bendungan dan Danau,JPT,"melaksanakan pembinaan pelaksanaan norma, standar, prosedur, dan kriteria, serta perencanaan, persiapan, dan pelaksanaan operasi dan pemeliharaan bendungan, danau, situ, dan embung, serta konservasi fisik sumber daya air",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Air Tanah dan Air Baku,JPT,"melaksanakan pembinaan pelaksanaan norma, standar, prosedur, dan kriteria, serta perencanaan, persiapan, dan pelaksanaan operasi dan pemeliharaan air tanah dan air baku, serta sarana dan prasarana konservasi air tanah dan air baku",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Bina Operasi dan Pemeliharaan,JPT,"melaksanakan pembinaan pelaksanaan norma, standar, prosedur, dan kriteria di bidang pembinaan operasi dan pemeliharaan serta pembinaan persiapan dan fasilitasi penanganan bencana.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Kepatuhan Intern,JPT,"Melaksanakan penyusunan kebijakan teknis kerangka kerja, pembinaan, pengendalian, pemantauan, evaluasi, dan pelaporan kepatuhan intern dan manajemen risiko",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Bina Teknik Sumber Daya Air,JPT,"melaksanakan penyiapan perumusan dan pelaksanaan kebijakan, serta penyusunan norma, standar, prosedur, dan kriteria di bidang pembinaan teknik sumber daya air.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Wilayah Sungai,JPT,"melaksanakan pengelolaan sumber daya air di wilayah sungai yang meliputi penyusunan program, pelaksanaan konstruksi, operasi dan pemeliharaan dalam rangka konservasi dan pendayagunaan sumber daya air dan pengendalian daya rusak air pada sungai, pantai, bendungan, danau, situ, embung, dan tampungan air lainnya, irigasi, rawa, tambak, air tanah, air baku, serta pengelolaan drainase utama perkotaan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Bidang Pengembangan Infrastruktur Wilayah Nasional,JPT,"Melaksanakan penyusunan kebijakan teknis dan rencana terpadu pembangunan infrastruktur pekerjaan umum dan perumahan rakyat, pelaksanaan koordinasi keterpaduan rencana dan sinkronisasi program, serta pemantauan, evaluasi, dan pelaporan pelaksanaan rencana terpadu pembangunan infrastruktur pekerjaan umum dan perumahan rakyat pada wilayah nasional berdasarkan pendekatan pengembangan wilayah",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar","Bidang Pengembangan Infrastruktur Wilayah 1, 2, 3",JPT,melaksanakan penyusunan kebijakan teknis dan rencana terpadu program pembangunan infrastruktur pekerjaan umum dan perumahan rakyat berdasarkan pendekatan pengembangan wilayah,Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan pembangunan kawasan perkotaan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Penata Kelola Perumahan,Future Job,"Merencanakan dan mengembangkan lahan untuk taman, sekolah, lembaga, bandara, jalan raya dan proyek terkait, dan untuk perumahan dan industry yang bersifat komersil",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Ahli Teknik Lingkungan,Future Job,"Melakukan penelitian, memberi saran, mendesain dan mengarahkan implementasi solusi untuk mencegah, mengontrol atau mengoreksi dampak negatif kegiatan manusia terhadap lingkungan dengan memanfaatkan berbagai disiplin ilmu teknik",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Auditor Lingkungan,Future Job,"Melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan; meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi imbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Analis Lingkungan,Future Job,"Mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang ikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Ahli Klimatologi,Future Job,"Mempelajari sifat iklim pada suatu wilayah, dan kaitannya dengan aktivitas manusia; mempelajari perubahan iklim, variabilitas iklim, dan dampak iklim terhadap biosfer; menggunakan komputer untuk memprediksi pengaruh cuaca atau iklim terhadap aktivitas manusia.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Ahli Prakiraan Cuaca,Future Job,Menerapkan ilmu pengetahuan dan teknologi untuk memprediksi keadaan atmosfer untuk lokasi tertentu; mengumpulkan data kuantitatif tentang keadaan atmosfer saat ini pada tempat tertentu dan menggunakan pemahaman ilmiah tentang proses atmosfer untuk memperkirakan keadaan atmosfer yang akan berkembang di tempat tersebut.,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Ahli Hidrometeorologi,Future Job,"Pengukuran, analisis dan pemodelan atmosfer dan proses hubungan antara variabel meteorologi dan curah hujan maksimum yang mencapai tanah sebagai dasar untuk desain pengendalian banjir dan struktur penggunaan air, penentuan probabilitas curah hujan, ruang dan waktu distribusi curah hujan dan penguapan, dan lainnya yang terkait.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Ahli Ekologi,Future Job,"Mempelajari ekosistem secara keseluruhan, kelimpahan dan distribusi organisme (manusia, tumbuhan, hewan), dan hubungan antara organisme dan lingkungannya. melakukan survey lapangan untuk mengumpulkan informasi tentang jumlah dan distribusi organisme; mempelajari taksonomi, pengklasifikasian organisme; menerapkan strategi sampling dan menggunakan berbagai teknik survei habitat, seperti Sistem Informasi Geografis (GIS), Global Positioning System (GPS), foto udara, catatan dan peta; melakukan penilaian dampak lingkungan; menganalisis dan menafsirkan data; manajemen dan penciptaan habitat; menulis laporan dan mengeluarkan rekomendasi; bekerjasama dengan dan menasihati manajer, insinyur, perencana dan lain-lain yang terkait dengan survei; membangun hubungan dengan para pemangku kepentingan, termasuk anggota masyarakat; menyumbangkan ide-ide tentang perubahan kebijakan dan / atau undang-undang, berdasarkan temuan ekologi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Analis Polusi Udara,Future Job,"Melakukan penelitian, memeriksa dan menyelidiki tingkat polusi udara, dan mengambil langkah yang diperlukan untuk memastikan kualitas udara yang baik sehingga masalah kesehatan masyarakat dapat ditangani; Melakukan penelitian, melakukan tes, mengumpulkan sampel, dan melakukan analisis lapangan dan laboratorium untuk mengidentifikasi sumber-sumber masalah lingkungan dan merekomendasikan cara-cara untuk mencegah, mengendalikan dan memperbaiki; menilai kemungkinan kegiatan yang berdampak potensial terhadap lingkungan, dan merekomendasikan apakah perkembangan tersebut harus dilanjutkan; mengembangkan dan mengkoordinasikan pelaksanaan sistem manajemen lingkungan untuk mengidentifikasi, memantau dan mengendalikan dampak dari kegiatan, produk dan jasa terhadap lingkungan; melakukan audit untuk mengevaluasi dampak lingkungan suatu kegiatan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
Infrastruktur,Ibu Kota Negara (IKN),Ahli Konservasi,Future Job,"Mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan; Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya; memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9,,,,,,,,,,,,,,,,,
