Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI
Energi,Pembangunan dan Pengembangan Kilang Minyak,Ahli Logistik Migas,Future Job,"merencanakan pengadaan  material minyak dan gas bumi, melaksanakan pengadaan, mengatur  mitra, dan melaksanakan kerja sama. mengendalikan persediaan material minyak dan gas bumi.  melaksanakan monitoring kegiatan material handling di gudang. melaksanakan aktivitas pengiriman  material minyak dan gas bumi dari vendor hingga sampai titik penyerahan. mengelola proses serah terima produk minyak dan gas bumi agar tepat jumlah, tepat mutu, tepat waktu sampai titik penyerahan. memonitor kegiatan penerimaan dan penimbunan produk minyak dan gas bumi di TBBM, DPPU, Depot LPG, dan LOBP. melaksanakan memonitor kegiatan penyaluran produk minyak dan gas bumi di TBBM, DPPU, Depot Gas, dan LOBP.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelistrikan,"Pembangkit Listrik 27.000 MW,Transmisi 19.000 KMS dan Gardu Induk 38.000 MVA",Operator Mesin Produksi Tenaga Listrik,Future Job,"mengoperasikan, memantau dan memelihara switchboards dan peralatan terkait di pusat kontrol listrik yang mengontrol produksi dan distribusi listrik atau lainnya di jaringan transmisi.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelistrikan,"Pembangkit Listrik 27.000 MW,Transmisi 19.000 KMS dan Gardu Induk 38.000 MVA",Teknisi Teknik Listrik,Future Job,"melakukan tugas-tugas teknis untuk membantu dalam penelitian teknik listrik, dan dalam desain, manufaktur, perakitan, konstruksi, operasi, pemeliharaan, dan perbaikan peralatan, sarana prasarana dan sistem distribusi listrik.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelistrikan,"Pembangkit Listrik 27.000 MW,Transmisi 19.000 KMS dan Gardu Induk 38.000 MVA",Teknisi Teknik Transmisi Tenaga Listrik,Future Job,"melakukan tugas teknik terkait transmisi tenaga listrik dalam bidang-bidang seperti manufaktur, perakitan, konstruksi, operasi, pemeliharaan, dan perbaikan peralatan, sarana prasarana dan sistem distribusi listrik. Melakukan tugas teknis terkait transmisi mulai dari kegiatan perancangan, pengembangan,
 pembangunan, pemeliharaan dan perbaikan sistem distribusi listrik.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Software Engineering,Future Job,Mengaplikasikan prinsip matematikan dan science untuk mengembangkan software dan memecahkan masalah,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Manajer Layanan Teknologi Informasi Dan Komunikasi,Future Job,"berkonsultasi dengan pengguna, manajemen, vendor dan teknisi untuk menilai kebutuhan komputasi dan persyaratan sistem, dan menetapkan teknologi untuk memenuhi kebutuhan tersebut; merumuskan dan mengarahkan strategi, kebijakan dan rencana teknologi informasi dan komunikasi (TIK), mengarahkan seleksi dan instalasi sumber daya TIK dan penyediaan pelatihan bagi pengguna; mengarahkan operasi TIK, menganalisis alur kerja, menetapkan prioritas, mengembangkan standar dan mengatur tenggat waktu; mengawasi keamanan sistem TIK; menugaskan, meninjau, mengelola dan memimpin pekerjaan analis sistem, programmer, dan pekerja lainnya yang berkaitan dengan komputer; mengevaluasi penggunaan dan pemakaian teknologi organisasi dan merekomendasikan perbaikan, seperti upgrade hardware dan software; menyusun dan mengelola anggaran, mengendalikan pengeluaran dan memastikan penggunaan sumber daya secara efisien; menetapkan dan mengarahkan prosedur operasi dan administrasi; mengawasi seleksi, pelatihan dan kinerja staf; mewakili perusahaan atau organisasi pada konvensi, seminar dan konferensi terkait TIK.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Programmer/Pengembang perangkat lunak,Future Job,"menerapkan prosedur pemrograman standar untuk mengembangkan suatu perangkat lunak. Mengembangkan, memodifikasi dan memelihara program; memonitor pengoperasian program; menganalisa kebutuhan pengguna serta implementasi, instalasi dan pelatihan yang berkaitan
 dengan perangkat lunak baru",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Pengawas IT,Future Job,Melakukan debugging; Melakukan profiling program; Melaksanakan pengujian unit program; Melaksanakan pengujian integrasi program; Melaksanakan pengujian program sistem; Melaksanakan stress test; Melaksanakan prosedur audit atas aplikasi teknologi informasi; Melaksanakan prosedur audit atas infrastruktur teknologi informasi; Menyusun hasil audit teknologi informasi; Menyusun rekomendasi audit teknologi informasi; Menetapkan resolusi dan masalah terhadap seluruh aktivitas seluruh siklus hidup TI; Memantau pelayanan prosedur tingkat layanan,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Perencana IT,Future Job,"Merencanakan kegiatan atau inisiatif terkait teknologi informasi dan komunikasi, memastikan setiap rencana kegiatan tersebut selaras dengan rencana strategis organisasi",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Analis Data Pengawasan,Future Job,"Menyiapkan, melaksanakan, mengkaji data hasil monitoring, evaluasi, dan/atau audit teknologi informasi dan komunikasi dan menyajikannya dalam bentuk informasi atau laporan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Analis Teknologi Informasi,Future Job,"Menyiapkan, melaksanakan, mengkaji inisiatif TIK yang mencakup kebijakan, proses bisnis, sistem informasi, infrastruktur,  dan/atau keamanan informasi dan menyajikannya dalam bentuk informasi atau laporan yang dapat dijadikan landasan untuk melakukan implementasi inisiatif tersebut.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Spesialis Forensik Digital,Future Job,"memeriksa berbagai bukti digital, termasuk foto dan video, perangkat digital, komputer dan jaringan data untuk kpenetingan investigasi terhadap tindakan kriminal menggunakan media digital.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Analis Kebijakan dan Standarisasi IT,Future Job,"Menyiapkan, melaksanakan, mengkaji inisiatif TIK yang mencakup kebijakan, prosedur, standar, dan proses bisnis terkait dan menyajikannya dalam bentuk informasi atau laporan yang dapat dijadikan landasan untuk menyusun kebijakan, prosedur, dan atau standar TIK atau rencana perbaikannya.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,Pengelola IT,Future Job,"Melaksanakan kegiatan pengelolaan TIK yang mencakup perencanaan operasional TIK, analisis kebutuhan operasional TIK, penyampaian layanan TIK, dan/atau pengelolaan helpdesk, beserta pelaporannya. ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Informatika,Infrastruktur TIK untuk mendukung Transformasi Digital,AI/Spesialis/teknisi Robotik,Future Job,"membangun, menginstal, menguji, atau memelihara peralatan robotik beserta aplikasinya atau sistem produksi otomatis terkait.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelautan,Pengamanan Pesisir 5 Perkotaan Pantura Jawa,Analis keamanan laut,Future Job,"Melakukan aanalisis bidang keamanan, keselamatan, dan perlindungan lingkungan laut",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelautan,Pengamanan Pesisir 5 Perkotaan Pantura Jawa,Perencana dan pemanfaatan ruang laut,Future Job,"Menerapkan Sistem Manajemen Keselamatan dan Kesehatan Kerja dan Lingkungan (SMK3-L); Mempersiapkan referensi yang relevan di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Mempersiapkan bahan penyusunan norma, standar, prosedur, dan kriteria di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Mempersiapkan bahan pemberian bimbingan teknis di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Mempersiapkan bahan pelaksanaan evaluasi dan pelaporan di bidang verifikasi teknis dan penerbitan perizinan pemanfaatan ruang laut; Melakukan pendampingan penyusunan naskah akademis dan naskah rancangan peraturan terkait perizinan pemanfaatan ruang laut; Menyusun laporan; Menggunakan teknologi komputasi dan informasi; Menerapkan teknik komunikasi. Membuat dokumentasi hasil kajian; Merumuskan rekomendasi teknis perencanaan ruang laut; Mengembangkan tata ruang Laut; Mengembangkan rencana zonasi kawasan strategis; Mengembangkan rencana zonasi wilayah pesisir dan pulau-pulau kecil; Mengembangkan perijinan pemanfaatan ruang laut",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelautan,Pengamanan Pesisir 5 Perkotaan Pantura Jawa,Ahli teknik konstruksi kapal,Future Job,"Ahli teknik konstruksi kapal mempelajari, merancang dan memberi petunjuk badan dan reka bentuk kapal, dan bangunan bagian kapal dan angkutan laut lainnya, serta merencanakan dan mengawasi pengembangan, pemasangan, pemeliharaan dan perbaikannya. Melakukan tugas yang sejenis dengan ahli teknik mesin (umum) tetapi mengkhususkan sebagai ahli di bidang perencanaan, pembuatan kapal, konsultasi dengan ahli teknik mesin kapal untuk mengkoordinasikan perencanaan kapal. Dapat mengkhususkan sebagai ahli di bidang angkutan laut tertentu seperti kapal perang, kapal pengangkut atau kapal penumpang.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelautan,Pengamanan Pesisir 5 Perkotaan Pantura Jawa,Polisi khusus wilayah pesisir dan pulau-pulau kecil,Future Job,,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Kelautan,Pengamanan Pesisir 5 Perkotaan Pantura Jawa,Analis pengusahaan jasa kelautan*,Future Job,"melaksanakan Analisis Pengusahaan Jasa Kelautan untuk sumber daya kelautan, pesisir dan pulau-pulau kecil di wilayah perairan, dan/atau yurisdiksi yang meliputi persiapan, pelaksanaan, pemantauan, evaluasi, dan pelaporan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,20 Waduk Multiguna,Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,21 Waduk Multiguna,Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jembatan Udara 37 Rute di Papua,Integrated Urban Transportation Specialist,Future Job,"Melakukan penyusunan rencana dan pekerjana teknis dengan mempertimbangkan perencanaan transportasi urban yang memperhatikan dimensi lingkungan, ekonomi, tata kelola, kesehatan, penyandang disabilitas, akses dan sosial.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jembatan Udara 37 Rute di Papua,Shipping and Port Management Specialist,Future Job,"Melakukan manajemen impor ekspor, shipping, operasi port dan manajemen port, manajemen logistics dan dockyard",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jembatan Udara 37 Rute di Papua,Ahli Teknik Pesawat Udara,Future Job,"melakukan perawatan, pemeliharaan, menganalisis masalah atau gangguan pada mesin, dan melakukan perbaikan mesin pesawat.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jembatan Udara 37 Rute di Papua,Ahli Teknik Navigasi Udara,Future Job,"memelihara, mengoperasikan, menganalisa gangguan dan kerusakan, serta memperbaiki peralatan telekomunikasi dan navigasi udara seperti radar, Doppler VHF Omni-directional Range (DVOR), Non Directional Beacon (NDB), Instrument Landing System (ILS), dan sebagainya. ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jembatan Udara 37 Rute di Papua,Ahli Teknik Listrik Bandara,Future Job,"mengoperasikan dan memelihara kelistrikan bandara, serta menganalisis permasalahan pada sistem kelistrikan bandara dan melakukan perbaikan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jembatan Udara 37 Rute di Papua,Ahli Lalu Lintas Udara,Future Job,"memantau pergerakan pesawat di darat dan di udara dari tower ATC, memberikan instruksi dan menerima laporan untuk melakukan pergerakan, sejak pesawat berada di bandara asal sampai dengan bandara tujuan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jembatan Udara 37 Rute di Papua,Ahli Teknologi Rekayasa Bandar Udara,Future Job,"Melakukan pemeliharaan fasilitas dari sisi darat dan udara, memperbaiki kerusakan tingkat ringan di fasilitas sisi darat dan udara, menganalisa kerusakan tingkat ringan dan berat di fasilitas sisi darat dan udara, merencanakan pekerjaan di fasilitas sisi darat dan sisi udara, mengevaluasi pekerjaan di fasilitas sisi darat dan sisi udara,  melakukan sertifikasi bandar udara, melakukan pengelolaan bandar udara, melakukan pemeriksaan kelayakan bandar udara.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Jalan Trans pada 18 Pulau Tertinggal, Terluar, dan Terdepan",Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan penataan lahan terbangun",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Jalan Trans pada 18 Pulau Tertinggal, Terluar, dan Terdepan",Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Jalan Trans pada 18 Pulau Tertinggal, Terluar, dan Terdepan",Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Jalan Trans pada 18 Pulau Tertinggal, Terluar, dan Terdepan",Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Jalan Trans Papua Merauke -Sorong,Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan penataan lahan terbangun",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Infrastruktur,Jalan Trans Papua Merauke -Sorong,Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Infrastruktur,Jalan Trans Papua Merauke -Sorong,Analis Proyek,Future Job,"Melakukan riset, pengumpulan data, analisis untuk proses pengambilan kebijakan strategis dalam sebuah proyek",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Infrastruktur,Jalan Trans Papua Merauke -Sorong,Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Lingkungan Hidup,Akses Sanitasi (Air Limbah Domestik) Layak dan Aman (90% Rumah Tangga),Ahli teknik lingkungan,Future Job,"Ahli teknik lingkungan menggunakan prinsip-prinsip teknik dan ilmu pengetahuan untuk merancang solusi masalah lingkungan, termasuk merancang rencana untuk mengurangi polusi, meningkatkan upaya daur ulang, dan meningkatkan efisiensi pembuangan limbah meneliti dampak lingkungan dari proyek konstruksi yang diusulkan, dan membantu pemerintah mengembangkan peraturan yang melindungi lingkungan dari kecelakaan industrial; mengembangkan metode-metode baru yang dapat membantu meminimalkan efek hal-hal seperti pemanasan global, hujan asam, atau emisi mobil.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Akses Sanitasi (Air Limbah Domestik) Layak dan Aman (90% Rumah Tangga),Auditor lingkungan,Future Job,"Auditor melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan. meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi limbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Akses Sanitasi (Air Limbah Domestik) Layak dan Aman (90% Rumah Tangga),Analis lingkungan,Future Job,"Analis lingkungan mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang dikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Akses Sanitasi (Air Limbah Domestik) Layak dan Aman (90% Rumah Tangga),Ahli konservasi,Future Job,"Ahli konservasi mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan. Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya. memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Akses Air Minum Perpipaan (10 Juta Sambungan Rumah),Ahli teknik lingkungan,Future Job,"Ahli teknik lingkungan menggunakan prinsip-prinsip teknik dan ilmu pengetahuan untuk merancang solusi masalah lingkungan, termasuk merancang rencana untuk mengurangi polusi, meningkatkan upaya daur ulang, dan meningkatkan efisiensi pembuangan limbah meneliti dampak lingkungan dari proyek konstruksi yang diusulkan, dan membantu pemerintah mengembangkan peraturan yang melindungi lingkungan dari kecelakaan industrial; mengembangkan metode-metode baru yang dapat membantu meminimalkan efek hal-hal seperti pemanasan global, hujan asam, atau emisi mobil.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Akses Air Minum Perpipaan (10 Juta Sambungan Rumah),Auditor lingkungan,Future Job,"Auditor melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan. meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi limbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Akses Air Minum Perpipaan (10 Juta Sambungan Rumah),Analis lingkungan,Future Job,"Analis lingkungan mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang dikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Akses Air Minum Perpipaan (10 Juta Sambungan Rumah),Ahli konservasi,Future Job,"Ahli konservasi mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan. Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya. memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Infrastruktur Jaringan Gas Kota untuk 4Juta Sambungan Rumah,Manajer Pertambangan Dan Penggalian,Future Job,"merencanakan, mengarahkan dan mengkoordinasikan kegiatan produksi pertambangan, penggalian dan kegiatan ekstraksi minyak dan gas.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Infrastruktur Jaringan Gas Kota untuk 4Juta Sambungan Rumah,Ahli Teknik Produksi Migas,Future Job,"Mengawasi operasi produksi dan operasi produksi setara lepas pantai sesuai prinsip keselamatan kerja, melaksanakan pembinaan dan pengembangan SDM, serta permintaan suku cadang untuk pemeliharaan atau perbaikan atas semua penyimpangan yang ditemukan. mempersiapkan peralatan kerja, merencanakan program kerja, memilih alternatif Trouble Shooting, membuat program analisis tekanan fluida di dalam sumur dan mengawasi operasi perawatan sumur. mengoperasikan sistem peralatan drilling rig (hoisting system,rotating system) dan melaksanakan kegiatan pencegahan sembur liar. mengawasi operasi produksi panas bumi sesuai prinsip keselamatan kerja.
",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Infrastruktur Jaringan Gas Kota untuk 4Juta Sambungan Rumah,Ahli Teknik Instrumentasi Kilang,Future Job,"Melaksanakan pekerjaan sistem instrumentasi, mengembangkan, menguji, memelihara dan memodifikasi sistem kontrol baru. melakukan pemeliharaan peralatan instrumentasi, troubleshooting dan improvement serta memahami sistem pengendalian dan otomatisasi dengan Programmable Logic Controller (PLC) dan Distributed Control System (DCS).",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Infrastruktur Jaringan Gas Kota untuk 4Juta Sambungan Rumah,Ahli Logistik Migas,Future Job,"merencanakan pengadaan  material minyak dan gas bumi, melaksanakan pengadaan, mengatur  mitra, dan melaksanakan kerja sama. mengendalikan persediaan material minyak dan gas bumi.  melaksanakan monitoring kegiatan material handling di gudang. melaksanakan aktivitas pengiriman  material minyak dan gas bumi dari vendor hingga sampai titik penyerahan. mengelola proses serah terima produk minyak dan gas bumi agar tepat jumlah, tepat mutu, tepat waktu sampai titik penyerahan. memonitor kegiatan penerimaan dan penimbunan produk minyak dan gas bumi di TBBM, DPPU, Depot LPG, dan LOBP. melaksanakan memonitor kegiatan penyaluran produk minyak dan gas bumi di TBBM, DPPU, Depot Gas, dan LOBP.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Infrastruktur Jaringan Gas Kota untuk 4Juta Sambungan Rumah,Manajer Produksi Ekstraksi Minyak Dan Gas,Future Job,"s merencanakan, mengorganisir, mengarahkan, mengendalikan dan mengkoordinasikan kegiatan produksi tambang minyak dan ekstraksi gas.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Pemulihan Empat Daerah Aliran Sungai Kritis,Ahli teknik lingkungan,Future Job,"Ahli teknik lingkungan menggunakan prinsip-prinsip teknik dan ilmu pengetahuan untuk merancang solusi masalah lingkungan, termasuk merancang rencana untuk mengurangi polusi, meningkatkan upaya daur ulang, dan meningkatkan efisiensi pembuangan limbah meneliti dampak lingkungan dari proyek konstruksi yang diusulkan, dan membantu pemerintah mengembangkan peraturan yang melindungi lingkungan dari kecelakaan industrial; mengembangkan metode-metode baru yang dapat membantu meminimalkan efek hal-hal seperti pemanasan global, hujan asam, atau emisi mobil.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Pemulihan Empat Daerah Aliran Sungai Kritis,Auditor lingkungan,Future Job,"Auditor melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan. meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi limbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Lingkungan Hidup,Pemulihan Empat Daerah Aliran Sungai Kritis,Analis lingkungan,Future Job,"Analis lingkungan mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang dikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
Lingkungan Hidup,Pemulihan Empat Daerah Aliran Sungai Kritis,Ahli konservasi,Future Job,"Ahli konservasi mengelola, meningkatkan, dan melindungi sumber daya alam untuk memaksimalkan penggunaannya tanpa merusak lingkungan. Dapat melakukan survei tanah dan mengembangkan rencana untuk menghilangkan erosi tanah atau untuk melindunginya. memberi saran kepada petani, manajer produksi pertanian, atau peternak tentang cara rotasi tanaman, membajak dengan kontur, atau terasering untuk konservasi tanah dan air; jumlah dan jenis ternak dan tanaman untuk rentang tertentu; dan perbaikan pertanian.",Kompetensi JF Level 2 - 4,Kompetensi Level 7
,,Manajer Pertambangan Dan Penggalian,Future Job,"merencanakan, mengarahkan dan mengkoordinasikan kegiatan produksi pertambangan, penggalian dan kegiatan ekstraksi minyak dan gas.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Pembangunan Fasilitas Pengolahan Limbah B3,Ahli teknik lingkungan,Future Job,"Ahli teknik lingkungan menggunakan prinsip-prinsip teknik dan ilmu pengetahuan untuk merancang solusi masalah lingkungan, termasuk merancang rencana untuk mengurangi polusi, meningkatkan upaya daur ulang, dan meningkatkan efisiensi pembuangan limbah meneliti dampak lingkungan dari proyek konstruksi yang diusulkan, dan membantu pemerintah mengembangkan peraturan yang melindungi lingkungan dari kecelakaan industrial; mengembangkan metode-metode baru yang dapat membantu meminimalkan efek hal-hal seperti pemanasan global, hujan asam, atau emisi mobil.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Pembangunan Fasilitas Pengolahan Limbah B4,Auditor lingkungan,Future Job,"Auditor melakukan audit lingkungan untuk membantu melakukan perbaikan lingkungan. meninjau kinerja lingkungan suatu bisnis untuk memastikan kepatuhan terhadap peraturan dan standar; memastikan bahwa sistem manajemen lingkungan bekerja secara efektif; mengaudit topik tertentu (misalnya minimisasi limbah, air atau efisiensi energi) untuk mengidentifikasi potensi peluang penghematan biaya; meninjau kinerja pemasok atau kontraktor; melakukan audit dampak produksi, penggunaannya, pembuangan.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Lingkungan Hidup,Pembangunan Fasilitas Pengolahan Limbah B5,Analis lingkungan,Future Job,"Analis lingkungan mengumpulkan, mempelajari dan menganalisa data untuk mengusulkan tindakan dan kebijakan untuk menciptakan interaksi yang lebih ramah lingkungan; melakukan pengumpulan data dan interpretasi, menggunakan informasi untuk menciptakan solusi untuk masalah lingkungan; meneliti sampel yang dikumpulkan di tempat dan melakukan penelitian sejarah untuk menentukan tingkat dan penyebab perubahan lingkungan; melaporkan rekomendasi dan solusi untuk penciptaan kebijakan, ekspansi atau modifikasi prosedur.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
